Kategorie: Alle Kategorien

Region,Donald Trump: (26.07.16 bis 26.07.16),Hillary Clinton: (26.07.16 bis 26.07.16)
Rhode Island,100%,36%
District of Columbia,68%,68%
Vermont,38%,98%
New Jersey,71%,65%
New Hampshire,82%,54%
Mississippi,78%,58%
North Carolina,73%,63%
Pennsylvania,69%,67%
Nevada,75%,61%
Massachusetts,68%,68%
Delaware,86%,50%
Illinois,78%,58%
Ohio,64%,72%
Maryland,69%,67%
New York,69%,67%
West Virginia,79%,57%
Indiana,71%,65%
South Carolina,75%,61%
Virginia,72%,64%
Colorado,61%,75%
Louisiana,67%,69%
Florida,72%,64%
Minnesota,71%,65%
Georgia,71%,65%
Alabama,71%,65%
Montana,57%,79%
South Dakota,68%,68%
Oklahoma,65%,71%
Alaska,75%,61%
Oregon,71%,65%
Arkansas,49%,87%
Kentucky,76%,60%
New Mexico,72%,64%
Texas,75%,61%
California,67%,69%
Iowa,68%,68%
North Dakota,72%,64%
Washington,68%,68%
Connecticut,69%,67%
Arizona,69%,67%
Tennessee,71%,65%
Missouri,67%,69%
Michigan,71%,65%
Maine,47%,89%
Nebraska,60%,76%
Kansas,75%,61%
Idaho,75%,61%
Utah,73%,63%
Hawaii,60%,76%
Wisconsin,75%,61%
Wyoming,79%,57%
