Kategorie: Alle Kategorien

Region,Donald Trump: (06.08.16 bis 06.08.16),Hillary Clinton: (06.08.16 bis 06.08.16)
Wyoming,91%,28%
District of Columbia,83%,37%
Pennsylvania,84%,36%
Rhode Island,91%,28%
Massachusetts,83%,37%
Maine,100%,20%
New Jersey,75%,44%
Montana,81%,38%
West Virginia,77%,43%
New York,80%,39%
Arizona,74%,45%
Nebraska,87%,32%
Connecticut,75%,44%
Oregon,90%,30%
Washington,73%,46%
Arkansas,80%,39%
Kentucky,75%,44%
Idaho,91%,28%
California,77%,43%
Wisconsin,74%,45%
Florida,74%,45%
Virginia,91%,28%
Delaware,69%,50%
Indiana,69%,50%
North Carolina,74%,45%
Colorado,74%,45%
Illinois,75%,44%
Kansas,73%,46%
Hawaii,87%,32%
Minnesota,81%,38%
Nevada,84%,36%
Georgia,78%,42%
Maryland,72%,48%
Ohio,78%,42%
New Hampshire,79%,40%
Tennessee,80%,39%
Michigan,74%,45%
Iowa,65%,55%
Alabama,74%,45%
Texas,77%,43%
North Dakota,81%,38%
South Carolina,78%,42%
South Dakota,81%,38%
Mississippi,75%,44%
Missouri,71%,49%
Oklahoma,67%,53%
Alaska,81%,38%
New Mexico,68%,51%
Vermont,73%,46%
Utah,66%,54%
Louisiana,57%,62%
