Kategorie: Alle Kategorien

Region,Donald Trump: (01.10.16 bis 01.10.16),Hillary Clinton: (01.10.16 bis 01.10.16)
Maine,94%,33%
Vermont,58%,69%
Montana,88%,39%
Pennsylvania,83%,44%
New Hampshire,83%,44%
North Dakota,78%,50%
Michigan,84%,43%
New York,79%,48%
Maryland,78%,50%
Massachusetts,73%,55%
Delaware,85%,42%
Kentucky,83%,44%
Idaho,78%,50%
New Mexico,84%,43%
California,85%,42%
Florida,76%,51%
Connecticut,73%,55%
Oregon,84%,43%
New Jersey,80%,47%
Louisiana,94%,33%
Alaska,35%,92%
Ohio,75%,52%
Nebraska,80%,47%
Virginia,75%,52%
Wyoming,80%,47%
Washington,84%,43%
Minnesota,74%,53%
Arizona,78%,50%
West Virginia,100%,28%
Alabama,80%,47%
Missouri,78%,50%
Georgia,79%,48%
Rhode Island,62%,65%
Hawaii,76%,51%
Colorado,74%,53%
Arkansas,78%,50%
North Carolina,74%,53%
District of Columbia,69%,58%
Utah,74%,53%
Indiana,79%,48%
Nevada,79%,48%
Illinois,71%,56%
Texas,79%,48%
Iowa,80%,47%
Wisconsin,75%,52%
Oklahoma,71%,56%
Mississippi,71%,56%
South Dakota,57%,70%
Tennessee,65%,62%
Kansas,71%,56%
South Carolina,70%,57%
