Kategorie: Alle Kategorien

Region,Donald Trump: (07.09.16 bis 07.09.16),Hillary Clinton: (07.09.16 bis 07.09.16)
Vermont,100%,25%
North Dakota,38%,86%
Maine,82%,42%
North Carolina,85%,40%
Wyoming,80%,45%
Ohio,80%,45%
Kansas,77%,47%
Pennsylvania,75%,50%
Mississippi,77%,47%
New Jersey,82%,42%
Oklahoma,82%,42%
South Carolina,75%,50%
Florida,70%,55%
Hawaii,66%,58%
Alabama,63%,61%
California,76%,48%
Missouri,70%,55%
District of Columbia,65%,60%
Washington,71%,53%
Connecticut,67%,57%
South Dakota,83%,41%
Idaho,46%,78%
Georgia,73%,51%
Arizona,66%,58%
Kentucky,58%,66%
New Mexico,63%,61%
Indiana,68%,56%
New Hampshire,72%,52%
Virginia,71%,53%
Michigan,76%,48%
Tennessee,77%,47%
New York,63%,61%
Illinois,72%,52%
Texas,72%,52%
Louisiana,70%,55%
Wisconsin,65%,60%
Massachusetts,70%,55%
Iowa,78%,46%
Arkansas,58%,66%
Rhode Island,62%,62%
Colorado,75%,50%
Delaware,50%,75%
Minnesota,65%,60%
Maryland,72%,52%
Nebraska,75%,50%
Montana,63%,61%
Alaska,83%,41%
Oregon,62%,62%
Utah,46%,78%
Nevada,63%,61%
West Virginia,56%,68%
