Kategorie: Alle Kategorien

Region,Donald Trump: (08.02.16 bis 08.02.16),Hillary Clinton: (08.02.16 bis 08.02.16)
New Hampshire,83%,39%
Vermont,93%,29%
Indiana,100%,23%
North Dakota,93%,29%
New Jersey,83%,39%
Florida,88%,34%
Utah,90%,33%
Massachusetts,77%,45%
Maine,74%,49%
Connecticut,77%,45%
New York,79%,44%
Alabama,93%,29%
Missouri,81%,41%
Virginia,82%,40%
South Dakota,88%,34%
South Carolina,92%,30%
Arizona,83%,39%
Oregon,67%,55%
Delaware,50%,72%
Arkansas,100%,23%
District of Columbia,69%,54%
West Virginia,93%,29%
Michigan,82%,40%
Washington,75%,48%
Alaska,62%,60%
California,82%,40%
Iowa,55%,67%
Ohio,80%,43%
Montana,88%,34%
Rhode Island,90%,33%
North Carolina,86%,37%
Tennessee,85%,38%
Wisconsin,72%,50%
Mississippi,83%,39%
Louisiana,91%,32%
Hawaii,34%,88%
Illinois,76%,46%
Idaho,76%,46%
Texas,83%,39%
Minnesota,79%,44%
Maryland,65%,58%
Kansas,70%,53%
Nevada,66%,56%
New Mexico,76%,46%
Georgia,75%,48%
Pennsylvania,69%,54%
Nebraska,66%,56%
Kentucky,88%,34%
Colorado,77%,45%
Wyoming,61%,61%
Oklahoma,80%,43%
