Kategorie: Alle Kategorien

Region,Donald Trump: (05.07.16 bis 05.07.16),Hillary Clinton: (05.07.16 bis 05.07.16)
New Hampshire,40%,90%
Wyoming,42%,89%
District of Columbia,47%,84%
West Virginia,39%,92%
Vermont,31%,100%
North Carolina,47%,84%
Nebraska,34%,97%
Missouri,50%,81%
Mississippi,36%,94%
New Jersey,52%,78%
Indiana,46%,85%
New York,50%,81%
Louisiana,46%,85%
South Dakota,50%,81%
Illinois,46%,85%
Georgia,44%,86%
Oregon,51%,80%
South Carolina,56%,75%
Rhode Island,69%,61%
Washington,44%,86%
Delaware,61%,69%
Ohio,51%,80%
Alabama,43%,88%
Pennsylvania,46%,85%
Iowa,44%,86%
Tennessee,52%,78%
Florida,56%,75%
Arizona,56%,75%
Massachusetts,51%,80%
North Dakota,69%,61%
Kansas,36%,94%
Michigan,51%,80%
Wisconsin,39%,92%
Minnesota,46%,85%
Connecticut,56%,75%
Texas,52%,78%
Colorado,57%,73%
Hawaii,50%,81%
Utah,50%,81%
Virginia,53%,77%
Maryland,64%,67%
Nevada,57%,73%
Idaho,59%,72%
New Mexico,42%,89%
Alaska,31%,100%
Arkansas,50%,81%
Kentucky,61%,69%
Oklahoma,60%,71%
California,59%,72%
Maine,76%,55%
Montana,64%,67%
