Kategorie: Alle Kategorien

Region,Donald Trump: (18.09.16 bis 18.09.16),Hillary Clinton: (18.09.16 bis 18.09.16)
Oklahoma,74%,53%
New Jersey,75%,52%
South Dakota,100%,28%
Arkansas,93%,34%
Pennsylvania,70%,57%
Mississippi,51%,76%
Connecticut,70%,57%
New York,69%,58%
Florida,74%,53%
Wyoming,64%,64%
Rhode Island,85%,42%
Alabama,71%,56%
South Carolina,75%,52%
New Mexico,48%,79%
Massachusetts,65%,62%
Hawaii,47%,80%
Indiana,67%,60%
Louisiana,73%,55%
Virginia,69%,58%
West Virginia,85%,42%
Arizona,66%,61%
Maine,61%,66%
California,69%,58%
Maryland,67%,60%
District of Columbia,70%,57%
North Carolina,65%,62%
Washington,67%,60%
Missouri,61%,66%
Montana,76%,51%
Idaho,71%,56%
Iowa,66%,61%
Minnesota,53%,74%
Michigan,73%,55%
Colorado,65%,62%
Wisconsin,76%,51%
Tennessee,66%,61%
Illinois,62%,65%
Delaware,70%,57%
Kansas,76%,51%
Texas,75%,52%
Vermont,55%,73%
Ohio,67%,60%
Nebraska,79%,48%
Georgia,73%,55%
North Dakota,55%,73%
Nevada,66%,61%
Kentucky,62%,65%
Oregon,69%,58%
Utah,66%,61%
New Hampshire,64%,64%
Alaska,65%,62%
