Kategorie: Alle Kategorien

Region,Donald Trump: (26.05.16 bis 26.05.16),Hillary Clinton: (26.05.16 bis 26.05.16)
North Dakota,100%,13%
New Mexico,80%,32%
Montana,96%,17%
Delaware,78%,35%
Wyoming,86%,27%
California,72%,40%
New Jersey,72%,40%
Washington,71%,42%
Mississippi,80%,32%
Kentucky,73%,39%
Maine,45%,68%
Pennsylvania,72%,40%
District of Columbia,65%,47%
New York,71%,42%
Nevada,71%,42%
Minnesota,75%,38%
Idaho,85%,28%
Arizona,71%,42%
Florida,73%,39%
Massachusetts,69%,44%
Rhode Island,70%,43%
Virginia,68%,45%
Alabama,69%,44%
Vermont,52%,61%
Ohio,78%,35%
Tennessee,80%,32%
Michigan,68%,45%
Oregon,70%,43%
Iowa,75%,38%
Connecticut,68%,45%
Illinois,69%,44%
Missouri,69%,44%
Maryland,65%,47%
West Virginia,57%,55%
Wisconsin,75%,38%
Colorado,64%,48%
Louisiana,75%,38%
Texas,76%,37%
Indiana,72%,40%
Georgia,71%,42%
New Hampshire,77%,36%
North Carolina,73%,39%
South Carolina,84%,29%
Hawaii,54%,59%
Kansas,46%,67%
Arkansas,60%,53%
Utah,68%,45%
South Dakota,65%,47%
Nebraska,71%,42%
Alaska,38%,75%
Oklahoma,60%,53%
