Kategorie: Alle Kategorien

Region,Donald Trump: (15.03.16 bis 15.03.16),Hillary Clinton: (15.03.16 bis 15.03.16)
Ohio,82%,30%
Missouri,82%,30%
Illinois,71%,40%
Delaware,95%,16%
North Carolina,85%,26%
Florida,83%,29%
Nevada,95%,16%
New Jersey,88%,23%
New York,89%,22%
Kentucky,86%,25%
Indiana,88%,23%
Michigan,83%,29%
Arizona,87%,24%
Connecticut,87%,24%
Georgia,89%,22%
Pennsylvania,92%,20%
Virginia,85%,26%
Rhode Island,74%,38%
Maryland,89%,22%
Iowa,92%,20%
New Hampshire,85%,26%
California,89%,22%
District of Columbia,83%,29%
Massachusetts,91%,21%
Maine,88%,23%
Tennessee,93%,19%
Montana,86%,25%
Texas,91%,21%
Utah,86%,25%
Mississippi,100%,12%
Minnesota,83%,29%
Wisconsin,86%,25%
South Dakota,97%,14%
West Virginia,74%,38%
South Carolina,86%,25%
Washington,83%,29%
Louisiana,96%,15%
Arkansas,83%,29%
New Mexico,93%,19%
Idaho,96%,15%
Kansas,83%,29%
Alabama,84%,28%
Nebraska,88%,23%
Oregon,79%,32%
Alaska,71%,40%
Colorado,73%,39%
Vermont,47%,65%
Hawaii,88%,23%
Oklahoma,69%,42%
North Dakota,89%,22%
Wyoming,69%,42%
