Kategorie: Alle Kategorien

Region,Donald Trump: (10.05.16 bis 10.05.16),Hillary Clinton: (10.05.16 bis 10.05.16)
West Virginia,80%,34%
Nevada,89%,25%
Rhode Island,86%,28%
Connecticut,87%,27%
New Jersey,88%,26%
Indiana,85%,29%
Arkansas,100%,14%
Vermont,93%,21%
Montana,75%,39%
Alabama,85%,29%
Maine,70%,44%
New York,80%,34%
Pennsylvania,79%,35%
Virginia,80%,34%
Iowa,88%,26%
District of Columbia,67%,47%
Arizona,80%,34%
Louisiana,82%,32%
Washington,75%,39%
New Hampshire,74%,40%
Wyoming,83%,31%
Illinois,80%,34%
Wisconsin,73%,41%
California,81%,33%
Kentucky,67%,47%
Tennessee,77%,37%
Delaware,95%,19%
Oregon,81%,33%
Michigan,74%,40%
Maryland,81%,33%
South Carolina,95%,19%
Colorado,81%,33%
Minnesota,81%,33%
Florida,80%,34%
Alaska,59%,55%
Utah,74%,40%
Georgia,74%,40%
Nebraska,60%,54%
North Carolina,82%,32%
Kansas,83%,31%
Massachusetts,75%,39%
Idaho,78%,36%
Texas,79%,35%
Ohio,73%,41%
Missouri,88%,26%
North Dakota,65%,49%
New Mexico,58%,56%
Oklahoma,70%,44%
Hawaii,73%,41%
Mississippi,80%,34%
South Dakota,70%,44%
