Kategorie: Alle Kategorien

Region,Donald Trump: (26.09.16 bis 26.09.16),Hillary Clinton: (26.09.16 bis 26.09.16)
North Dakota,40%,82%
Delaware,35%,87%
Hawaii,86%,37%
New Jersey,74%,49%
District of Columbia,62%,60%
New York,62%,60%
Iowa,72%,50%
Rhode Island,67%,55%
Maine,67%,55%
Pennsylvania,65%,58%
Nebraska,75%,48%
Kentucky,65%,58%
Florida,65%,58%
Vermont,46%,76%
Nevada,62%,60%
Ohio,65%,58%
Massachusetts,64%,59%
Alaska,100%,23%
Michigan,66%,56%
Connecticut,60%,62%
Kansas,71%,51%
Alabama,60%,62%
Minnesota,66%,56%
Indiana,60%,62%
Virginia,62%,60%
West Virginia,74%,49%
North Carolina,64%,59%
Illinois,70%,53%
New Hampshire,69%,54%
Washington,72%,50%
Colorado,62%,60%
Wyoming,69%,54%
California,64%,59%
Missouri,67%,55%
Arizona,69%,54%
Georgia,59%,64%
Wisconsin,61%,61%
South Carolina,72%,50%
Maryland,65%,58%
Montana,48%,75%
Arkansas,67%,55%
Oregon,66%,56%
Tennessee,56%,66%
New Mexico,51%,71%
Mississippi,69%,54%
Utah,59%,64%
Oklahoma,69%,54%
Texas,65%,58%
Louisiana,60%,62%
South Dakota,87%,35%
Idaho,70%,53%
