Kategorie: Alle Kategorien

Region,Donald Trump: (20.09.16 bis 20.09.16),Hillary Clinton: (20.09.16 bis 20.09.16)
Rhode Island,100%,40%
New Hampshire,90%,50%
Delaware,60%,80%
New Jersey,88%,52%
North Carolina,80%,60%
Alaska,94%,46%
New Mexico,87%,53%
Pennsylvania,81%,59%
Connecticut,80%,60%
District of Columbia,85%,54%
Wyoming,53%,87%
New York,73%,67%
Iowa,76%,64%
Tennessee,71%,69%
Alabama,87%,53%
Florida,78%,61%
Massachusetts,76%,64%
Arizona,85%,54%
Ohio,81%,59%
Maryland,78%,61%
Idaho,76%,64%
Vermont,56%,84%
Colorado,80%,60%
Maine,74%,66%
Minnesota,77%,63%
Kentucky,80%,60%
Oklahoma,63%,77%
Illinois,84%,56%
South Carolina,77%,63%
North Dakota,95%,45%
California,78%,61%
Georgia,73%,67%
Indiana,70%,70%
Kansas,70%,70%
Arkansas,81%,59%
South Dakota,84%,56%
Oregon,73%,67%
Virginia,71%,69%
Missouri,74%,66%
Wisconsin,74%,66%
Michigan,80%,60%
Washington,70%,70%
Utah,66%,74%
Texas,77%,63%
Nevada,70%,70%
Mississippi,73%,67%
Louisiana,81%,59%
Montana,77%,63%
Nebraska,61%,78%
West Virginia,83%,57%
Hawaii,56%,84%
