Kategorie: Alle Kategorien

Region,Donald Trump: (12.09.16 bis 12.09.16),Hillary Clinton: (12.09.16 bis 12.09.16)
West Virginia,9%,100%
District of Columbia,16%,93%
Delaware,17%,92%
New Jersey,19%,90%
Pennsylvania,20%,89%
Connecticut,20%,89%
Tennessee,18%,91%
Vermont,9%,100%
Wyoming,16%,93%
Oklahoma,21%,87%
New York,20%,89%
Kentucky,19%,90%
Ohio,18%,91%
Missouri,19%,90%
Georgia,19%,90%
Illinois,21%,87%
Florida,19%,90%
Massachusetts,19%,90%
Virginia,21%,87%
New Mexico,15%,94%
Alabama,17%,92%
Colorado,18%,91%
Mississippi,23%,86%
Nebraska,18%,91%
South Carolina,19%,90%
Arizona,16%,93%
Washington,17%,92%
Michigan,23%,86%
Alaska,17%,92%
New Hampshire,19%,90%
Texas,19%,90%
North Carolina,24%,85%
Indiana,20%,89%
Montana,23%,86%
Arkansas,20%,89%
Rhode Island,25%,84%
Wisconsin,20%,89%
Nevada,24%,85%
Idaho,13%,96%
Maryland,28%,81%
California,23%,86%
Kansas,19%,90%
North Dakota,30%,79%
Iowa,16%,93%
Minnesota,23%,86%
Louisiana,24%,85%
South Dakota,21%,87%
Maine,25%,84%
Utah,24%,85%
Hawaii,17%,92%
Oregon,18%,91%
