Kategorie: Alle Kategorien

Region,Donald Trump: (16.06.16 bis 16.06.16),Hillary Clinton: (16.06.16 bis 16.06.16)
Alaska,56%,53%
Texas,85%,24%
Hawaii,100%,9%
Rhode Island,80%,29%
District of Columbia,71%,38%
Maryland,70%,39%
Georgia,85%,24%
New Jersey,79%,30%
Connecticut,61%,48%
Delaware,31%,78%
Oregon,75%,34%
Idaho,74%,35%
Massachusetts,73%,36%
New York,72%,37%
Nevada,85%,24%
Virginia,78%,31%
Pennsylvania,74%,35%
Arkansas,83%,26%
Montana,42%,67%
California,74%,35%
Vermont,80%,29%
Indiana,76%,32%
Louisiana,83%,26%
Arizona,72%,37%
South Carolina,79%,30%
Washington,70%,39%
Wisconsin,75%,34%
West Virginia,70%,39%
Florida,71%,38%
Illinois,76%,32%
Michigan,72%,37%
Minnesota,79%,30%
Utah,78%,31%
Kansas,65%,43%
Ohio,65%,43%
Maine,49%,60%
New Mexico,67%,42%
Tennessee,65%,43%
Alabama,72%,37%
Colorado,69%,40%
Nebraska,86%,23%
North Carolina,75%,34%
Iowa,74%,35%
Missouri,67%,42%
North Dakota,74%,35%
Kentucky,63%,46%
New Hampshire,64%,45%
Oklahoma,58%,51%
South Dakota,67%,42%
Mississippi,56%,53%
Wyoming,,
