Kategorie: Alle Kategorien

Region,Donald Trump: (04.02.16 bis 04.02.16),Hillary Clinton: (04.02.16 bis 04.02.16)
New Hampshire,52%,57%
Arkansas,87%,21%
Vermont,74%,35%
Rhode Island,100%,9%
Connecticut,78%,31%
District of Columbia,58%,51%
Maine,78%,31%
Montana,76%,32%
Utah,91%,18%
Iowa,42%,67%
Pennsylvania,64%,45%
West Virginia,75%,34%
Oregon,72%,37%
New Jersey,69%,40%
Illinois,72%,37%
Virginia,71%,38%
Michigan,69%,40%
Tennessee,70%,39%
Massachusetts,58%,51%
Nevada,64%,45%
Ohio,67%,42%
South Carolina,71%,38%
North Dakota,74%,35%
Washington,60%,49%
Florida,70%,39%
New York,59%,50%
Minnesota,67%,42%
Georgia,71%,38%
California,67%,42%
Indiana,65%,43%
North Carolina,70%,39%
Texas,73%,36%
Maryland,54%,54%
Missouri,71%,38%
Kansas,68%,41%
Alabama,61%,48%
Arizona,68%,41%
Delaware,60%,49%
Wisconsin,56%,53%
Nebraska,60%,49%
Wyoming,45%,64%
Hawaii,62%,47%
Oklahoma,70%,39%
Idaho,67%,42%
Louisiana,81%,28%
Kentucky,68%,41%
South Dakota,56%,53%
Colorado,63%,46%
Mississippi,56%,53%
Alaska,56%,53%
New Mexico,50%,59%
