Kategorie: Alle Kategorien

Region,Donald Trump: (27.05.16 bis 27.05.16),Hillary Clinton: (27.05.16 bis 27.05.16)
North Dakota,88%,30%
Montana,97%,21%
California,84%,34%
Delaware,94%,25%
New Jersey,84%,34%
West Virginia,86%,32%
Nevada,78%,40%
Alaska,36%,82%
Arizona,89%,29%
Maryland,78%,40%
Maine,97%,21%
Oregon,76%,42%
South Dakota,54%,64%
District of Columbia,75%,44%
New Mexico,55%,63%
Wyoming,60%,58%
New York,77%,41%
Utah,76%,42%
Oklahoma,91%,27%
Massachusetts,72%,46%
Georgia,78%,40%
Washington,72%,46%
Pennsylvania,78%,40%
Indiana,52%,66%
New Hampshire,47%,71%
Illinois,75%,44%
Texas,80%,38%
Missouri,91%,27%
Tennessee,86%,32%
Virginia,72%,46%
Iowa,89%,29%
Kentucky,77%,41%
North Carolina,77%,41%
Minnesota,64%,54%
Louisiana,77%,41%
Rhode Island,60%,58%
Michigan,78%,40%
Florida,77%,41%
Alabama,82%,36%
Vermont,69%,50%
Hawaii,45%,73%
South Carolina,70%,48%
Colorado,73%,45%
Connecticut,67%,51%
Ohio,73%,45%
Nebraska,72%,46%
Idaho,46%,72%
Kansas,100%,19%
Mississippi,66%,52%
Wisconsin,72%,46%
Arkansas,66%,52%
