Kategorie: Alle Kategorien

Region,Donald Trump: (11.02.16 bis 11.02.16),Hillary Clinton: (11.02.16 bis 11.02.16)
Louisiana,100%,16%
New Hampshire,81%,34%
Delaware,88%,27%
South Carolina,83%,32%
Connecticut,82%,33%
Rhode Island,83%,32%
West Virginia,84%,31%
Vermont,59%,56%
District of Columbia,67%,48%
Arkansas,86%,30%
New Jersey,91%,24%
Massachusetts,74%,41%
New York,74%,41%
Idaho,100%,16%
Wisconsin,77%,38%
Utah,77%,38%
Nevada,75%,40%
Pennsylvania,79%,37%
Alaska,91%,24%
Virginia,76%,39%
Missouri,93%,23%
Tennessee,88%,27%
Maine,67%,48%
Arizona,86%,30%
Nebraska,75%,40%
Kansas,82%,33%
California,79%,37%
Florida,81%,34%
Oregon,80%,36%
Kentucky,74%,41%
Oklahoma,84%,31%
Michigan,76%,39%
Illinois,69%,46%
Georgia,84%,31%
North Carolina,80%,36%
Minnesota,79%,37%
Washington,66%,50%
Texas,81%,34%
Mississippi,73%,43%
Maryland,66%,50%
Alabama,80%,36%
Montana,91%,24%
Colorado,70%,45%
Ohio,79%,37%
Indiana,73%,43%
South Dakota,74%,41%
Hawaii,79%,37%
Wyoming,70%,45%
Iowa,65%,51%
New Mexico,70%,45%
North Dakota,70%,45%
