Kategorie: Alle Kategorien

Region,Donald Trump: (08.09.16 bis 08.09.16),Hillary Clinton: (08.09.16 bis 08.09.16)
South Dakota,81%,61%
West Virginia,75%,67%
District of Columbia,75%,67%
Maine,58%,84%
Kentucky,95%,47%
New Hampshire,74%,68%
Missouri,74%,68%
Delaware,64%,78%
Rhode Island,84%,58%
North Dakota,54%,88%
Pennsylvania,82%,60%
Illinois,80%,62%
Mississippi,82%,60%
Washington,77%,65%
Ohio,77%,65%
Nevada,68%,74%
Iowa,82%,60%
Wyoming,64%,78%
Nebraska,75%,67%
Indiana,81%,61%
New Jersey,71%,71%
Maryland,81%,61%
Alaska,100%,42%
New York,72%,70%
North Carolina,74%,68%
Massachusetts,70%,72%
Minnesota,90%,52%
Arkansas,70%,72%
Arizona,77%,65%
Virginia,70%,72%
Idaho,68%,74%
Wisconsin,92%,50%
Florida,75%,67%
California,80%,62%
Montana,88%,54%
Texas,81%,61%
Michigan,80%,62%
Connecticut,72%,70%
Louisiana,94%,48%
Oklahoma,82%,60%
New Mexico,70%,72%
Colorado,75%,67%
Tennessee,85%,57%
South Carolina,75%,67%
Georgia,75%,67%
Vermont,80%,62%
Kansas,80%,62%
Alabama,84%,58%
Hawaii,68%,74%
Utah,57%,85%
Oregon,71%,71%
