Kategorie: Alle Kategorien

Region,Donald Trump: (11.01.16 bis 11.01.16),Hillary Clinton: (11.01.16 bis 11.01.16)
Vermont,91%,25%
Wyoming,60%,57%
Connecticut,94%,23%
New Hampshire,95%,22%
Maine,77%,40%
Delaware,87%,30%
Virginia,90%,27%
Arkansas,95%,22%
New Jersey,97%,20%
Iowa,82%,35%
Massachusetts,85%,31%
Georgia,98%,18%
Nebraska,81%,36%
Nevada,100%,17%
Maryland,82%,35%
New York,88%,29%
Pennsylvania,83%,34%
Florida,85%,31%
Illinois,92%,24%
Indiana,96%,21%
Michigan,89%,28%
District of Columbia,58%,58%
South Carolina,95%,22%
North Dakota,40%,77%
North Carolina,97%,20%
Minnesota,76%,41%
Colorado,92%,24%
California,88%,29%
Texas,89%,28%
Rhode Island,80%,37%
Tennessee,94%,23%
Missouri,87%,30%
Montana,60%,57%
Alaska,71%,45%
Idaho,92%,24%
Wisconsin,84%,32%
Ohio,89%,28%
South Dakota,80%,37%
Mississippi,76%,41%
Utah,83%,34%
Louisiana,87%,30%
Washington,75%,42%
Arizona,85%,31%
Alabama,100%,17%
Oregon,75%,42%
West Virginia,84%,32%
Kentucky,85%,31%
Kansas,69%,48%
Oklahoma,75%,42%
Hawaii,80%,37%
New Mexico,71%,45%
