Kategorie: Alle Kategorien

Region,Donald Trump: (02.08.16 bis 02.08.16),Hillary Clinton: (02.08.16 bis 02.08.16)
District of Columbia,82%,35%
Virginia,88%,29%
New York,82%,35%
Massachusetts,78%,38%
Pennsylvania,80%,37%
West Virginia,77%,40%
Maine,87%,30%
Mississippi,100%,17%
Delaware,80%,37%
Washington,82%,35%
Arizona,84%,32%
Maryland,82%,35%
Wyoming,69%,48%
California,80%,37%
New Jersey,81%,36%
North Dakota,88%,29%
Illinois,78%,38%
Georgia,85%,31%
Alaska,67%,50%
Ohio,77%,40%
Kentucky,85%,31%
Michigan,81%,36%
Wisconsin,83%,34%
South Carolina,80%,37%
New Mexico,76%,41%
Florida,80%,37%
Alabama,81%,36%
Hawaii,77%,40%
Rhode Island,78%,38%
Connecticut,78%,38%
Arkansas,76%,41%
Minnesota,76%,41%
Louisiana,81%,36%
Oklahoma,77%,40%
Texas,80%,37%
North Carolina,78%,38%
Nebraska,60%,57%
Colorado,68%,49%
Missouri,69%,48%
Utah,74%,43%
Oregon,74%,43%
Tennessee,76%,41%
New Hampshire,72%,44%
Idaho,76%,41%
Nevada,63%,54%
South Dakota,74%,43%
Indiana,71%,45%
Kansas,71%,45%
Iowa,75%,42%
Montana,57%,60%
Vermont,75%,42%
