Kategorie: Alle Kategorien

Region,Donald Trump: (15.08.16 bis 15.08.16),Hillary Clinton: (15.08.16 bis 15.08.16)
Rhode Island,97%,34%
Vermont,44%,86%
New Hampshire,93%,38%
New Jersey,92%,39%
New York,84%,47%
Massachusetts,82%,48%
Connecticut,76%,55%
District of Columbia,73%,57%
North Dakota,53%,77%
Minnesota,92%,39%
Indiana,86%,44%
Pennsylvania,76%,55%
Maryland,89%,42%
New Mexico,86%,44%
Illinois,88%,43%
Arizona,77%,53%
South Carolina,82%,48%
Hawaii,77%,53%
Georgia,89%,42%
Washington,82%,48%
California,81%,50%
South Dakota,75%,56%
Oklahoma,72%,59%
Wisconsin,90%,40%
Wyoming,80%,51%
Maine,67%,64%
Kentucky,77%,53%
Michigan,84%,47%
Nevada,90%,40%
Florida,77%,53%
Ohio,78%,52%
Virginia,82%,48%
Colorado,86%,44%
Oregon,69%,61%
Mississippi,67%,64%
North Carolina,73%,57%
Tennessee,75%,56%
Utah,56%,75%
Alabama,86%,44%
Louisiana,76%,55%
Nebraska,84%,47%
Alaska,56%,75%
Missouri,77%,53%
Iowa,75%,56%
Texas,84%,47%
Kansas,61%,69%
West Virginia,100%,31%
Idaho,61%,69%
Montana,57%,73%
Delaware,89%,42%
Arkansas,67%,64%
