Kategorie: Alle Kategorien

Region,Donald Trump: (21.07.16 bis 21.07.16),Hillary Clinton: (21.07.16 bis 21.07.16)
North Dakota,94%,20%
Mississippi,91%,22%
Kansas,88%,26%
Ohio,89%,25%
Pennsylvania,88%,26%
New Jersey,88%,26%
North Carolina,90%,24%
Kentucky,89%,25%
District of Columbia,83%,31%
Tennessee,91%,22%
South Dakota,95%,19%
Minnesota,89%,25%
New York,89%,25%
Maryland,96%,18%
Georgia,94%,20%
Missouri,88%,26%
Massachusetts,88%,26%
Alabama,95%,19%
Florida,87%,27%
Illinois,88%,26%
California,88%,26%
Wyoming,98%,16%
Indiana,90%,24%
Arkansas,80%,34%
Michigan,90%,24%
South Carolina,86%,28%
Rhode Island,85%,29%
West Virginia,85%,29%
Arizona,86%,28%
Texas,89%,25%
Connecticut,86%,28%
Louisiana,91%,22%
Virginia,88%,26%
Utah,90%,24%
Maine,82%,32%
Nevada,88%,26%
Washington,86%,28%
Oklahoma,80%,34%
Nebraska,83%,31%
Delaware,100%,14%
New Mexico,90%,24%
Colorado,83%,31%
Wisconsin,85%,29%
Iowa,80%,34%
Idaho,73%,41%
Oregon,86%,28%
Hawaii,79%,35%
New Hampshire,83%,31%
Montana,81%,33%
Alaska,95%,19%
Vermont,55%,59%
