Kategorie: Alle Kategorien

Region,Donald Trump: (16.10.16 bis 16.10.16),Hillary Clinton: (16.10.16 bis 16.10.16)
Vermont,90%,35%
New Jersey,87%,37%
North Dakota,88%,36%
Maine,73%,51%
South Dakota,91%,33%
Washington,83%,41%
New York,81%,43%
Connecticut,80%,45%
Pennsylvania,78%,46%
West Virginia,77%,47%
Massachusetts,77%,47%
Ohio,83%,41%
New Hampshire,68%,56%
Montana,82%,42%
District of Columbia,75%,50%
Illinois,86%,38%
Colorado,82%,42%
Maryland,83%,41%
Oregon,77%,47%
Michigan,78%,46%
Minnesota,81%,43%
New Mexico,100%,25%
Nevada,81%,43%
North Carolina,77%,47%
Missouri,80%,45%
Virginia,80%,45%
Florida,78%,46%
Tennessee,77%,47%
Idaho,80%,45%
Oklahoma,92%,32%
Mississippi,85%,40%
California,80%,45%
South Carolina,87%,37%
Utah,91%,33%
Kansas,83%,41%
Georgia,85%,40%
Louisiana,86%,38%
Rhode Island,75%,50%
Wisconsin,81%,43%
Arkansas,71%,53%
Texas,80%,45%
Alabama,77%,47%
Iowa,72%,52%
Indiana,76%,48%
Delaware,92%,32%
Alaska,67%,57%
Nebraska,53%,71%
Arizona,62%,62%
Kentucky,80%,45%
Wyoming,55%,70%
Hawaii,75%,50%
