Kategorie: Alle Kategorien

Region,Donald Trump: (10.09.16 bis 10.09.16),Hillary Clinton: (10.09.16 bis 10.09.16)
South Dakota,76%,51%
Maine,93%,34%
Idaho,80%,47%
New Hampshire,83%,44%
Delaware,79%,48%
Pennsylvania,79%,48%
Kentucky,84%,43%
Rhode Island,73%,55%
North Dakota,80%,47%
New Mexico,41%,87%
Massachusetts,70%,57%
Washington,56%,71%
Maryland,65%,62%
Connecticut,62%,65%
District of Columbia,74%,53%
New Jersey,66%,61%
Montana,58%,69%
Missouri,74%,53%
Illinois,73%,55%
New York,73%,55%
Virginia,70%,57%
Oklahoma,76%,51%
California,73%,55%
West Virginia,71%,56%
Georgia,82%,46%
South Carolina,71%,56%
Arizona,69%,58%
Florida,71%,56%
Nevada,69%,58%
Michigan,73%,55%
Alabama,66%,61%
Ohio,66%,61%
Wisconsin,58%,69%
Arkansas,100%,28%
Alaska,55%,73%
Tennessee,69%,58%
North Carolina,70%,57%
Louisiana,67%,60%
Indiana,65%,62%
Nebraska,85%,42%
Texas,73%,55%
Colorado,66%,61%
Minnesota,62%,65%
Vermont,51%,76%
Iowa,73%,55%
Utah,60%,67%
Kansas,82%,46%
Hawaii,69%,58%
Wyoming,64%,64%
Oregon,60%,67%
Mississippi,53%,74%
