Kategorie: Alle Kategorien

Region,Donald Trump: (19.09.16 bis 19.09.16),Hillary Clinton: (19.09.16 bis 19.09.16)
Montana,42%,87%
District of Columbia,63%,66%
Delaware,50%,79%
Oklahoma,75%,54%
Pennsylvania,64%,64%
Florida,74%,55%
Nevada,76%,53%
Connecticut,67%,62%
New Jersey,68%,61%
Ohio,62%,67%
Vermont,32%,97%
Illinois,71%,58%
Iowa,53%,76%
New York,63%,66%
New Hampshire,100%,29%
Washington,46%,83%
Arizona,63%,66%
Maryland,74%,55%
Virginia,64%,64%
Wyoming,64%,64%
Tennessee,70%,59%
Nebraska,61%,68%
North Dakota,32%,97%
Idaho,32%,97%
New Mexico,80%,49%
Massachusetts,68%,61%
California,71%,58%
Minnesota,58%,71%
Michigan,68%,61%
Indiana,66%,63%
Colorado,61%,68%
Georgia,62%,67%
Wisconsin,66%,63%
Alabama,61%,68%
Utah,74%,55%
Mississippi,70%,59%
Louisiana,64%,64%
Hawaii,58%,71%
South Dakota,72%,57%
Texas,68%,61%
Oregon,63%,66%
Kansas,75%,54%
North Carolina,64%,64%
Maine,46%,83%
Missouri,70%,59%
South Carolina,74%,55%
Arkansas,67%,62%
Alaska,75%,54%
West Virginia,55%,74%
Rhode Island,54%,75%
Kentucky,48%,81%
