Kategorie: Alle Kategorien

Region,Donald Trump: (06.11.16 bis 06.11.16),Hillary Clinton: (06.11.16 bis 06.11.16)
Michigan,81%,54%
Minnesota,85%,50%
Pennsylvania,75%,59%
New Jersey,78%,56%
Nevada,85%,50%
Florida,82%,52%
Delaware,87%,47%
New Hampshire,75%,59%
Alabama,81%,54%
Iowa,82%,52%
Massachusetts,78%,56%
New York,75%,59%
Ohio,75%,59%
Nebraska,82%,52%
Virginia,85%,50%
Maine,75%,59%
Maryland,78%,56%
Vermont,72%,62%
Mississippi,81%,54%
Missouri,81%,54%
South Dakota,87%,47%
New Mexico,100%,35%
Arizona,83%,51%
Illinois,83%,51%
Rhode Island,71%,63%
Georgia,79%,55%
Connecticut,74%,60%
Arkansas,67%,67%
Colorado,79%,55%
Kentucky,78%,56%
North Dakota,79%,55%
North Carolina,70%,64%
Indiana,77%,58%
West Virginia,77%,58%
Wisconsin,77%,58%
Montana,51%,83%
District of Columbia,67%,67%
Kansas,74%,60%
South Carolina,81%,54%
California,77%,58%
Oklahoma,75%,59%
Louisiana,79%,55%
Wyoming,56%,78%
Tennessee,74%,60%
Texas,78%,56%
Washington,67%,67%
Oregon,74%,60%
Alaska,58%,77%
Utah,70%,64%
Hawaii,68%,66%
Idaho,72%,62%
