Kategorie: Alle Kategorien

Region,Donald Trump: (13.08.16 bis 13.08.16),Hillary Clinton: (13.08.16 bis 13.08.16)
Connecticut,82%,42%
Alaska,85%,40%
New Hampshire,77%,47%
District of Columbia,73%,51%
Vermont,85%,40%
New York,86%,38%
Louisiana,100%,25%
Mississippi,92%,32%
New Jersey,80%,45%
Massachusetts,82%,42%
Maryland,87%,37%
Ohio,85%,40%
Georgia,92%,32%
Florida,76%,48%
South Carolina,96%,28%
New Mexico,82%,42%
Rhode Island,31%,93%
Illinois,76%,48%
Washington,80%,45%
Tennessee,72%,52%
Michigan,73%,51%
Colorado,81%,43%
South Dakota,90%,35%
Arizona,73%,51%
Minnesota,72%,52%
California,78%,46%
Indiana,71%,53%
Missouri,81%,43%
Pennsylvania,77%,47%
Wyoming,76%,48%
Alabama,81%,43%
Oregon,77%,47%
Nevada,76%,48%
Kentucky,77%,47%
Nebraska,71%,53%
Idaho,67%,57%
West Virginia,77%,47%
Virginia,76%,48%
Texas,80%,45%
Kansas,81%,43%
Oklahoma,67%,57%
Iowa,37%,87%
North Carolina,82%,42%
Delaware,70%,55%
Wisconsin,57%,67%
Utah,53%,71%
Hawaii,60%,65%
Maine,68%,56%
Arkansas,82%,42%
Montana,63%,61%
North Dakota,63%,61%
